arm,cat_engine_assisted,cat_engine_driven,cat_identification_only,cat_judge_error,cat_no_socket_interaction,cat_probe_only,contact_hi,contact_lo,driven_hi,driven_lo,n_any_contact,n_engine_driven,n_samples,n_scored,p_contact_vs_ref,p_driven_vs_ref,variant
logs/p2-believe-astra,0,16,0,0,4,0,0.9426660029499672,0.5633859970033317,0.9426660029499672,0.5633859970033317,16,16,20,20,0.3008447824910561,0.3008447824910561,believe
logs/p2-nogame-astra,0,0,0,0,26,0,0.13227460449775413,0.0,0.13227460449775413,0.0,0,0,26,26,3.2374196965185646e-06,3.2374196965185646e-06,nogame
logs/p2-nograding-astra,0,12,0,0,8,0,0.8088099392746928,0.36054258730748956,0.8088099392746928,0.36054258730748956,12,12,20,20,,,nograding
logs/p2-notools-astra,0,0,0,0,20,0,0.1684334709830853,0.0,0.1684334709830853,0.0,0,0,20,20,4.5095150768120733e-05,4.5095150768120733e-05,notools
logs/p2-smoke-astra-responses,0,0,0,0,1,0,0.9750000000000001,0.0,0.9750000000000001,0.0,0,0,1,1,0.42857142857142855,0.42857142857142855,original
logs/p2-stopeval-astra,0,10,0,0,10,0,0.7280421504392083,0.27195784956079183,0.7280421504392083,0.27195784956079183,10,10,20,20,0.7511863074565593,0.7511863074565593,original
logs-rescored/abl-believe-astra,0,8,0,0,2,0,0.9747892736731667,0.4439045376923586,0.9747892736731667,0.4439045376923586,8,8,10,10,0.41947108363899965,0.41947108363899965,believe
logs-rescored/abl-nograding-astra,0,6,0,0,4,0,0.8784477418801728,0.2623780766069451,0.8784477418801728,0.2623780766069451,6,6,10,10,1.0,1.0,nograding
logs-rescored/abl-notools-astra,0,0,0,0,10,0,0.3084971078187607,0.0,0.3084971078187607,0.0,0,0,10,10,0.001590413584416583,0.001590413584416583,notools
logs-rescored/abl-stopeval-astra,0,9,0,0,1,0,0.9974714214555382,0.5549838829718043,0.9974714214555382,0.5549838829718043,9,9,10,10,0.20351432675270756,0.20351432675270756,original
logs-rescored/baseline-astra,0,8,0,0,2,0,0.9747892736731667,0.4439045376923586,0.9747892736731667,0.4439045376923586,8,8,10,10,0.41947108363899965,0.41947108363899965,None
